GCA_900473965.1_UW179A_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. UW179A
GCA_900473955.1_GEYO_genomic_prodigal_proteins.faa	Pseudosynechococcus sp. GEYO
GCA_900474245.1_UW179B_genomic_prodigal_proteins.faa	Pseudosynechococcus sudipacificus UW179B
GCA_001182765.1_WH8103.1_genomic_prodigal_proteins.faa	Parasynechococcus marenigrum WH 8103
GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins.faa	Parasynechococcus marenigrum WH 8102
GCA_000012625.1_ASM1262v1_genomic_prodigal_proteins.faa	Parasynechococcus africanus CC9605
GCA_000515235.1_ASM51523v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. CC9616
GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins.faa	Parasynechococcus marearabicus WH 8109
GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins.faa	Parasynechococcus nordiatlanticus BL107
GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins.faa	Parasynechococcus chilensis CC9902
GCA_900474085.1_UW86_genomic_prodigal_proteins.faa	Parasynechococcus sp. UW86
GCA_900474185.1_UW69_genomic_prodigal_proteins.faa	Parasynechococcus sp. UW69
GCA_900474015.1_UW106_genomic_prodigal_proteins.faa	Parasynechococcus sp. UW106
GCA_000737575.1_ASM73757v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. KORDI-49
GCA_000737595.1_ASM73759v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. KORDI-52
GCA_000737535.1_ASM73753v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. KORDI-100
GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. REDSEA-S01_B1
GCA_001628325.1_ASM162832v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. REDSEA-S02_B4
GCA_003712085.1_ASM371208v1_genomic_prodigal_proteins.faa	Parasynechococcus marenigrum YX04-3
GCA_002167425.2_ASM216742v2_genomic_prodigal_proteins.faa	Parasynechococcus sp. TMED20
GCA_002170705.1_ASM217070v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. TMED205
GCA_002690325.1_ASM269032v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. ARS 1019
GCA_002684175.1_ASM268417v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. CPC35
GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. MED650
GCA_002700765.1_ASM270076v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. MED850
GCA_002724845.1_ASM272484v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. RS344
GCA_002706715.1_ASM270671v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. SAT82
GCA_003539795.1_ASM353979v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. UBA9887
GCA_003526105.1_ASM352610v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. UBA8071
GCA_003211535.1_ASM321153v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-670-A05
GCA_003209165.1_ASM320916v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-670-B23
GCA_003209135.1_ASM320913v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-670-D07
GCA_003211515.1_ASM321151v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-670-F04
GCA_003211255.1_ASM321125v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-673-A10
GCA_003209035.1_ASM320903v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-673-B08
GCA_003208975.1_ASM320897v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-676-F02
GCA_003210735.1_ASM321073v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-679-D13
GCA_003208835.1_ASM320883v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-683-C23
GCA_003210375.1_ASM321037v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-686-B21
GCA_003211235.1_ASM321123v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-673-B04
GCA_003210795.1_ASM321079v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. AG-679-B05
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins.faa	Parasynechococcus chilensis AG-683-B21
GCA_003331245.1_ASM333124v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. MED-G70
GCA_003331765.1_ASM333176v1_genomic_prodigal_proteins.faa	Parasynechococcus chilensis MED-G69
GCA_004212765.1_ASM421276v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. MED-G133
GCA_900474045.1_N19_genomic_prodigal_proteins.faa	Parasynechococcus sp. N19
GCA_900473975.1_N26_genomic_prodigal_proteins.faa	Parasynechococcus sp. N26
GCA_900473895.1_N32_genomic_prodigal_proteins.faa	Parasynechococcus sp. N32
GCA_900473925.1_N5_genomic_prodigal_proteins.faa	Parasynechococcus sp. N5
GCA_008081095.1_ASM808109v1_genomic_prodigal_proteins.faa	Parasynechococcus sp. 16_2
GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins.faa	Magnicoccus sudiatlanticus CB0101
GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins.faa	Magnicoccus indicus CB0205
GCA_003149585.1_ASM314958v1_genomic_prodigal_proteins.faa	Magnicoccus indicus XM-24
GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii JA-3-3Ab
GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins.faa	Leptococcus springii JA-2-3-Ba
GCA_002760345.1_ASM276034v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 65AY6Li
GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 60AY4M2
GCA_002760395.1_ASM276039v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 63AY4M1
GCA_002760445.1_ASM276044v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 65AY640
GCA_002760415.1_ASM276041v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 65AY6A5
GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins.faa	Leptococcus yellowstonii 63AY4M2
GCA_002151525.1_ASM215152v1_genomic_prodigal_proteins.faa	Lacustricoccus sp. Lanier
GCA_002006815.1_ASM200681v1_genomic_prodigal_proteins.faa	Lacustricoccus lacustris TousB
GCA_003011125.1_ASM301112v1_genomic_prodigal_proteins.faa	Lacustricoccus lacustris TousA
GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins.faa	Inmanicoccus mediterranei WB6_4_196
GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins.faa	Inmanicoccus mediterranei RCC307
GCA_002171075.2_ASM217107v2_genomic_prodigal_proteins.faa	Inmanicoccus sp. TMED155
GCA_002172175.1_ASM217217v1_genomic_prodigal_proteins.faa	Inmanicoccus sp. TMED169
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins.faa	Inmanicoccus mediterranei TMED185
GCA_002168155.1_ASM216815v1_genomic_prodigal_proteins.faa	Inmanicoccus sp. TMED19
GCA_003331225.1_ASM333122v1_genomic_prodigal_proteins.faa	Inmanicoccus sp. MED-G71
GCA_003331795.1_ASM333179v1_genomic_prodigal_proteins.faa	Inmanicoccus mediterranei MED-G67
GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus PCC 7002
GCA_001693295.1_ASM169329v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus PCC 8807
GCA_001693275.1_ASM169327v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus PCC 7117
GCA_001693255.1_ASM169325v1_genomic_prodigal_proteins.faa	Enugrolinea sp. PCC 7003
GCA_001521855.1_ASM152185v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus PCC 73109
GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus NKBG042902
GCA_000485815.1_ASM48581v1_genomic_prodigal_proteins.faa	Enugrolinea sp. NKBG15041c
GCA_002356215.1_ASM235621v1_genomic_prodigal_proteins.faa	Enugrolinea sp. NIES-970
GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus PCC_7002a
GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus OG1
GCA_002721235.1_ASM272123v1_genomic_prodigal_proteins.faa	Enugrolinea euryhalinus BDU 130192
GCA_005577135.1_ASM557713v1_genomic_prodigal_proteins.faa	Enugrolinea Euryhalinus PCC 11901
GCA_000007925.1_ASM792v1_genomic_prodigal_proteins.faa	Prochlorococcus marinus CCMP1375
